%time,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7
1515777276291881517,82,41,32,47,69,32,37,52
1515777276314376419,83,40,29,53,73,30,35,51
1515777276328518806,68,40,30,50,59,26,36,53
1515777276352191576,66,40,31,50,65,25,37,48
1515777276374550574,86,42,32,52,72,26,39,47
1515777276397162888,77,38,31,51,70,23,38,45
1515777276412204422,80,41,32,45,75,24,35,48
1515777276434678575,80,39,31,42,75,24,35,43
1515777276457003200,81,40,34,59,89,26,34,39
1515777276471979093,57,36,32,54,83,27,32,39
1515777276494766484,58,39,30,56,95,28,31,38
1515777276517188452,57,38,32,56,87,31,32,31
1515777276532033409,55,41,34,55,87,32,34,33
1515777276554629754,54,41,29,43,68,30,33,35
1515777276576946826,70,40,34,41,66,29,31,37
1515777276592397851,79,35,37,40,63,28,32,36
1515777276614683020,76,37,37,48,68,26,33,36
1515777276637597142,77,37,36,48,66,27,31,40
1515777276652016051,82,38,36,42,65,27,31,38
1515777276674704444,68,39,34,40,63,27,33,38
1515777276697135051,64,50,36,43,55,28,28,47
1515777276712193393,67,49,34,35,66,27,29,50
1515777276734590171,65,48,33,37,67,27,27,50
1515777276756830025,59,48,33,36,68,27,28,53
1515777276771095709,69,50,33,40,80,28,27,51
1515777276794643101,64,40,33,45,84,28,34,44
1515777276817035996,62,43,34,46,71,28,33,42
1515777276831465232,67,42,36,45,73,29,35,38
1515777276854389479,66,43,36,51,76,30,38,37
1515777276877348003,63,46,34,57,72,30,40,42
1515777276891362603,60,45,32,50,59,30,35,43
1515777276914619205,67,43,31,51,66,29,37,44
1515777276937559364,62,43,27,50,73,28,39,43
1515777276950977005,70,44,33,55,78,27,36,45
1515777276974539964,64,40,33,48,78,26,37,42
1515777276997279937,73,40,32,48,78,27,36,43
1515777277011371002,67,41,34,45,76,30,33,41
1515777277034627428,70,39,37,46,70,29,29,42
1515777277057393842,64,40,34,38,66,30,30,41
1515777277071287195,70,40,35,37,63,32,28,41
1515777277095012684,62,46,38,37,62,31,29,42
1515777277116926333,61,45,37,40,58,30,29,41
1515777277131185759,64,47,38,41,56,30,31,38
1515777277154752697,61,43,37,35,45,32,30,36
1515777277177054496,55,41,38,34,37,29,32,34
1515777277191229330,56,36,47,34,35,28,30,33
1515777277214583720,60,40,61,34,33,29,30,37
